Iteration,Total_Successful_Messages,Total_Blocked_Messages,Sent1,Blocked1,Sent2,Blocked2,Sent3,Blocked3,Avg_Tsender,Tsender1,Tsender2,Tsender3
0,1009,1989,980,662,1014,667,1004,660,99,101,98,99
1,1008,1123,708,360,716,375,707,388,116,118,115,116
2,1008,656,557,212,558,217,549,227,132,133,131,132
3,1009,347,451,111,457,120,448,116,146,148,145,147
4,1009,156,389,46,388,55,388,55,160,162,159,161
5,1008,0,336,0,333,0,339,0,174,175,173,174
