Iteration,Total_Successful_Messages,Total_Blocked_Messages,Sent1,Blocked1,Sent2,Blocked2,Sent3,Blocked3,Avg_Tsender,Tsender1,Tsender2,Tsender3
0,1009,5190,149,1041,645,2802,215,1347,59,84,29,64
1,1009,2544,203,638,519,1094,287,812,90,119,62,91
2,1009,4371,100,706,204,1246,705,2419,75,124,69,32
3,1009,3650,230,1036,206,1013,573,1601,69,79,82,46
4,1009,7169,54,534,884,5780,71,855,97,170,15,108
5,1009,53672,897,48977,107,4059,5,636,60,2,24,156
