Iteration,Total_Successful_Messages,Total_Blocked_Messages,Sent1,Blocked1,Sent2,Blocked2,Sent3,Blocked3,Avg_Tsender,Tsender1,Tsender2,Tsender3
0,1009,1983,1006,671,998,662,988,650,100,99,100,101
1,1009,1149,733,415,716,376,709,358,116,115,116,117
2,1009,658,552,213,560,199,555,246,131,130,131,133
3,1009,356,454,109,459,116,452,131,146,145,146,147
4,1008,147,386,48,384,50,385,49,160,159,160,161
5,1004,0,333,0,339,0,332,0,173,173,173,175
